"location","activity","date","change","value","source"
"Greater London","Workplaces",2020-11-07,-33,67,"Google"
"Greater London","Residential",2020-11-07,15,115,"Google"
"Greater London","Workplaces",2020-11-08,-35,65,"Google"
"Greater London","Residential",2020-11-08,12,112,"Google"
"Greater London","Workplaces",2020-11-09,-51,49,"Google"
"Greater London","Residential",2020-11-09,20,120,"Google"
"Greater London","Workplaces",2020-11-10,-51,49,"Google"
"Greater London","Residential",2020-11-10,20,120,"Google"
"Greater London","Workplaces",2020-11-11,-50,50,"Google"
"Greater London","Residential",2020-11-11,21,121,"Google"
"Greater London","Workplaces",2020-11-12,-51,49,"Google"
"Greater London","Residential",2020-11-12,21,121,"Google"
"Greater London","Workplaces",2020-11-13,-49,51,"Google"
"Greater London","Residential",2020-11-13,21,121,"Google"
"Greater London","Workplaces",2020-11-14,-35,65,"Google"
"Greater London","Residential",2020-11-14,16,116,"Google"
"Greater London","Workplaces",2020-11-15,-36,64,"Google"
"Greater London","Residential",2020-11-15,12,112,"Google"
"Greater London","Workplaces",2020-11-16,-51,49,"Google"
"Greater London","Residential",2020-11-16,20,120,"Google"
"Greater London","Workplaces",2020-11-17,-51,49,"Google"
"Greater London","Residential",2020-11-17,20,120,"Google"
"Greater London","Workplaces",2020-11-18,-50,50,"Google"
"Greater London","Residential",2020-11-18,21,121,"Google"
"Greater London","Workplaces",2020-11-19,-51,49,"Google"
"Greater London","Residential",2020-11-19,22,122,"Google"
"Greater London","Workplaces",2020-11-20,-49,51,"Google"
"Greater London","Residential",2020-11-20,22,122,"Google"
"Greater London","Workplaces",2020-11-21,-32,68,"Google"
"Greater London","Residential",2020-11-21,14,114,"Google"
"Greater London","Workplaces",2020-11-22,-33,67,"Google"
"Greater London","Residential",2020-11-22,11,111,"Google"
"Greater London","Workplaces",2020-11-23,-50,50,"Google"
"Greater London","Residential",2020-11-23,20,120,"Google"
"Greater London","Workplaces",2020-11-24,-51,49,"Google"
"Greater London","Residential",2020-11-24,20,120,"Google"
"Greater London","Workplaces",2020-11-25,-49,51,"Google"
"Greater London","Residential",2020-11-25,21,121,"Google"
"Greater London","Workplaces",2020-11-26,-50,50,"Google"
"Greater London","Residential",2020-11-26,21,121,"Google"
"Greater London","Workplaces",2020-11-27,-49,51,"Google"
"Greater London","Residential",2020-11-27,21,121,"Google"
"Greater London","Workplaces",2020-11-28,-30,70,"Google"
"Greater London","Residential",2020-11-28,14,114,"Google"
"Greater London","Workplaces",2020-11-29,-32,68,"Google"
"Greater London","Residential",2020-11-29,11,111,"Google"
"Greater London","Workplaces",2020-11-30,-49,51,"Google"
"Greater London","Residential",2020-11-30,19,119,"Google"
"Greater London","Workplaces",2020-12-01,-48,52,"Google"
"Greater London","Residential",2020-12-01,19,119,"Google"
"Greater London","Workplaces",2020-12-02,-42,58,"Google"
"Greater London","Residential",2020-12-02,17,117,"Google"
"Greater London","Workplaces",2020-12-03,-44,56,"Google"
"Greater London","Residential",2020-12-03,18,118,"Google"
"Greater London","Workplaces",2020-12-04,-42,58,"Google"
"Greater London","Residential",2020-12-04,16,116,"Google"
"Greater London","Workplaces",2020-12-05,-14,86,"Google"
"Greater London","Residential",2020-12-05,8,108,"Google"
"Greater London","Workplaces",2020-12-06,-15,85,"Google"
"Greater London","Residential",2020-12-06,7,107,"Google"
"Greater London","Workplaces",2020-12-07,-45,55,"Google"
"Greater London","Residential",2020-12-07,16,116,"Google"
"Greater London","Workplaces",2020-12-08,-44,56,"Google"
"Greater London","Residential",2020-12-08,16,116,"Google"
"Greater London","Workplaces",2020-12-09,-43,57,"Google"
"Greater London","Residential",2020-12-09,16,116,"Google"
"Greater London","Workplaces",2020-12-10,-44,56,"Google"
"Greater London","Residential",2020-12-10,17,117,"Google"
"Greater London","Workplaces",2020-12-11,-42,58,"Google"
"Greater London","Residential",2020-12-11,16,116,"Google"
"Greater London","Workplaces",2020-12-12,-15,85,"Google"
"Greater London","Residential",2020-12-12,8,108,"Google"
"Greater London","Workplaces",2020-12-13,-16,84,"Google"
"Greater London","Residential",2020-12-13,8,108,"Google"
"Greater London","Workplaces",2020-12-14,-47,53,"Google"
"Greater London","Residential",2020-12-14,16,116,"Google"
"Greater London","Workplaces",2020-12-15,-46,54,"Google"
"Greater London","Residential",2020-12-15,15,115,"Google"
"Greater London","Workplaces",2020-12-16,-48,52,"Google"
"Greater London","Residential",2020-12-16,19,119,"Google"
"Greater London","Workplaces",2020-12-17,-50,50,"Google"
"Greater London","Residential",2020-12-17,19,119,"Google"
"Greater London","Workplaces",2020-12-18,-52,48,"Google"
"Greater London","Residential",2020-12-18,20,120,"Google"
"Greater London","Workplaces",2020-12-19,-22,78,"Google"
"Greater London","Residential",2020-12-19,11,111,"Google"
"Greater London","Workplaces",2020-12-20,-28,72,"Google"
"Greater London","Residential",2020-12-20,10,110,"Google"
"Greater London","Workplaces",2020-12-21,-63,37,"Google"
"Greater London","Residential",2020-12-21,23,123,"Google"
"Greater London","Workplaces",2020-12-22,-65,35,"Google"
"Greater London","Residential",2020-12-22,24,124,"Google"
"Greater London","Workplaces",2020-12-23,-65,35,"Google"
"Greater London","Residential",2020-12-23,25,125,"Google"
"Greater London","Workplaces",2020-12-24,-72,28,"Google"
"Greater London","Residential",2020-12-24,27,127,"Google"
"Greater London","Workplaces",2020-12-25,-88,12,"Google"
"Greater London","Residential",2020-12-25,37,137,"Google"
"Greater London","Workplaces",2020-12-26,-56,44,"Google"
"Greater London","Residential",2020-12-26,20,120,"Google"
"Greater London","Workplaces",2020-12-27,-35,65,"Google"
"Greater London","Residential",2020-12-27,12,112,"Google"
"Greater London","Workplaces",2020-12-28,-80,20,"Google"
"Greater London","Residential",2020-12-28,31,131,"Google"
"Greater London","Workplaces",2020-12-29,-72,28,"Google"
"Greater London","Residential",2020-12-29,28,128,"Google"
"Greater London","Workplaces",2020-12-30,-71,29,"Google"
"Greater London","Residential",2020-12-30,28,128,"Google"
"Greater London","Workplaces",2020-12-31,-73,27,"Google"
"Greater London","Residential",2020-12-31,29,129,"Google"
"Greater London","Workplaces",2021-01-01,-84,16,"Google"
"Greater London","Residential",2021-01-01,36,136,"Google"
"Greater London","Workplaces",2021-01-02,-42,58,"Google"
"Greater London","Residential",2021-01-02,18,118,"Google"
"Greater London","Workplaces",2021-01-03,-34,66,"Google"
"Greater London","Residential",2021-01-03,13,113,"Google"
"Greater London","Workplaces",2021-01-04,-61,39,"Google"
"Greater London","Residential",2021-01-04,25,125,"Google"
"Greater London","Workplaces",2021-01-05,-63,37,"Google"
"Greater London","Residential",2021-01-05,27,127,"Google"
"Greater London","Workplaces",2021-01-06,-62,38,"Google"
"Greater London","Residential",2021-01-06,27,127,"Google"
"Greater London","Workplaces",2021-01-07,-62,38,"Google"
"Greater London","Residential",2021-01-07,28,128,"Google"
"Greater London","Workplaces",2021-01-08,-61,39,"Google"
"Greater London","Residential",2021-01-08,28,128,"Google"
"Greater London","Workplaces",2021-01-09,-37,63,"Google"
"Greater London","Residential",2021-01-09,17,117,"Google"
"Greater London","Workplaces",2021-01-10,-37,63,"Google"
"Greater London","Residential",2021-01-10,14,114,"Google"
"Greater London","Workplaces",2021-01-11,-62,38,"Google"
"Greater London","Residential",2021-01-11,26,126,"Google"
"Greater London","Workplaces",2021-01-12,-63,37,"Google"
"Greater London","Residential",2021-01-12,27,127,"Google"
"Greater London","Workplaces",2021-01-13,-63,37,"Google"
"Greater London","Residential",2021-01-13,27,127,"Google"
"Greater London","Workplaces",2021-01-14,-64,36,"Google"
"Greater London","Residential",2021-01-14,28,128,"Google"
"Greater London","Workplaces",2021-01-15,-62,38,"Google"
"Greater London","Residential",2021-01-15,27,127,"Google"
"Greater London","Workplaces",2021-01-16,-40,60,"Google"
"Greater London","Residential",2021-01-16,18,118,"Google"
"Greater London","Workplaces",2021-01-17,-37,63,"Google"
"Greater London","Residential",2021-01-17,13,113,"Google"
"Greater London","Workplaces",2021-01-18,-63,37,"Google"
"Greater London","Residential",2021-01-18,25,125,"Google"
"Greater London","Workplaces",2021-01-19,-64,36,"Google"
"Greater London","Residential",2021-01-19,26,126,"Google"
"Greater London","Workplaces",2021-01-20,-63,37,"Google"
"Greater London","Residential",2021-01-20,27,127,"Google"
"Greater London","Workplaces",2021-01-21,-63,37,"Google"
"Greater London","Residential",2021-01-21,27,127,"Google"
"Greater London","Workplaces",2021-01-22,-60,40,"Google"
"Greater London","Residential",2021-01-22,26,126,"Google"
"Greater London","Workplaces",2021-01-23,-37,63,"Google"
"Greater London","Residential",2021-01-23,16,116,"Google"
"Greater London","Workplaces",2021-01-24,-40,60,"Google"
"Greater London","Residential",2021-01-24,14,114,"Google"
"Greater London","Workplaces",2021-01-25,-62,38,"Google"
"Greater London","Residential",2021-01-25,25,125,"Google"
"Greater London","Workplaces",2021-01-26,-63,37,"Google"
"Greater London","Residential",2021-01-26,26,126,"Google"
"Greater London","Workplaces",2021-01-27,-62,38,"Google"
"Greater London","Residential",2021-01-27,26,126,"Google"
"Greater London","Workplaces",2021-01-28,-62,38,"Google"
"Greater London","Residential",2021-01-28,26,126,"Google"
"Greater London","Workplaces",2021-01-29,-60,40,"Google"
"Greater London","Residential",2021-01-29,26,126,"Google"
"Greater London","Workplaces",2021-01-30,-39,61,"Google"
"Greater London","Residential",2021-01-30,17,117,"Google"
"Greater London","Workplaces",2021-01-31,-37,63,"Google"
"Greater London","Residential",2021-01-31,13,113,"Google"
"Greater London","Workplaces",2021-02-01,-62,38,"Google"
"Greater London","Residential",2021-02-01,24,124,"Google"
"Greater London","Workplaces",2021-02-02,-62,38,"Google"
"Greater London","Residential",2021-02-02,25,125,"Google"
"Greater London","Workplaces",2021-02-03,-61,39,"Google"
"Greater London","Residential",2021-02-03,26,126,"Google"
"Greater London","Workplaces",2021-02-04,-61,39,"Google"
"Greater London","Residential",2021-02-04,26,126,"Google"
"Greater London","Workplaces",2021-02-05,-59,41,"Google"
"Greater London","Residential",2021-02-05,25,125,"Google"
"Greater London","Workplaces",2021-02-06,-36,64,"Google"
"Greater London","Residential",2021-02-06,15,115,"Google"
"Greater London","Workplaces",2021-02-07,-40,60,"Google"
"Greater London","Residential",2021-02-07,14,114,"Google"
"Greater London","Workplaces",2021-02-08,-63,37,"Google"
"Greater London","Residential",2021-02-08,25,125,"Google"
"Greater London","Workplaces",2021-02-09,-63,37,"Google"
"Greater London","Residential",2021-02-09,26,126,"Google"
